timestamp,accX,accY,accZ,Subject_ID,Age,Height_cm,Weight_kg
0,0.0564,-0.23706,1.0049,1,32,163,97
20,0.04981,-0.24243,1.0173,1,32,163,97
40,-0.22315,-0.52978,0.8737799999999999,1,32,163,97
60,-0.21777,-0.48584,0.8654799999999999,1,32,163,97
80,0.28931,0.42847,0.93799,1,32,163,97
100,-0.12646,-0.42725,0.92798,1,32,163,97
120,0.36352,0.33618,0.89185,1,32,163,97
140,0.15161,0.27637,0.97827,1,32,163,97
160,-0.12842,-0.42773,0.94971,1,32,163,97
180,0.3125,0.30029,0.94605,1,32,163,97
200,0.2666,0.2697699999999999,0.94898,1,32,163,97
220,-0.19751,-0.44531,0.95923,1,32,163,97
240,0.31055,0.27515,0.9436,1,32,163,97
260,-0.18799,-0.4751,0.90723,1,32,163,97
280,0.26953,0.18091,0.97998,1,32,163,97
300,-0.15845,-0.35474,0.9104,1,32,163,97
320,-0.02417,-0.44043,0.93237,1,32,163,97
340,-0.16333,-0.40552,0.93848,1,32,163,97
360,0.27515,0.18286,0.97998,1,32,163,97
380,0.32886,0.24414,0.95727,1,32,163,97
400,-0.13696,-0.42212,0.92407,1,32,163,97
420,-0.04565,-0.42773,0.93603,1,32,163,97
440,-0.15967,-0.43872,0.91943,1,32,163,97
460,0.03662,-0.34912,0.97974,1,32,163,97
480,-0.1731,-0.40259,0.94092,1,32,163,97
500,0.0227,-0.23877,0.97315,1,32,163,97
520,0.30762,0.29639,0.93359,1,32,163,97
540,-0.05029,-0.31396,1.0313,1,32,163,97
560,-0.15503,-0.38989,0.94849,1,32,163,97
580,-0.0529799999999999,-0.3623,1.0078,1,32,163,97
600,-0.14624,-0.396,0.95654,1,32,163,97
620,0.37866,0.12695,0.96143,1,32,163,97
640,0.20898,0.28906,0.96265,1,32,163,97
660,-0.09033,-0.4773,0.92822,1,32,163,97
680,0.15747,0.38965,0.91675,1,32,163,97
700,0.31226,0.29248,0.94385,1,32,163,97
720,0.18213,0.36328,0.94482,1,32,163,97
740,0.24927,0.1328099999999999,1.0012,1,32,163,97
760,0.1604,0.35083,0.93066,1,32,163,97
780,0.32861,0.37842,0.8945299999999999,1,32,163,97
800,0.2627,0.17017,0.98852,1,32,163,97
820,-0.10205,-0.39404,0.97778,1,32,163,97
840,0.36694,0.1831,0.9856,1,32,163,97
860,-0.2063,-0.40381,0.92261,1,32,163,97
880,0.28589,0.3352,0.93018,1,32,163,97
900,0.39111,0.10449,0.9624,1,32,163,97
920,0.29273,0.29395,0.95557,1,32,163,97
940,0.01685,-0.44775,0.94434,1,32,163,97
960,-0.12744,-0.35205,0.96118,1,32,163,97
980,-0.16919,-0.43213,0.9126,1,32,163,97
